hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1264?ys=2025RS' target='_blank'>HB1264</a>,Delegate Rose,Primary and Secondary Education,Public Schools - Mathematics Credit - College Preparatory Computer Science or Computer Programming Course,Hearing 3/05 at 1:15 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1288?ys=2025RS' target='_blank'>HB1288</a>,Delegate Rose,Private Sector Labor and Industry,Labor and Employment - Noncompete and Conflict of Interest Provisions,Hearing canceled,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0658?ys=2025RS' target='_blank'>SB0658</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1319?ys=2025RS' target='_blank'>HB1319</a>,Delegate Rose,Criminal Law - Substantive Crimes,Criminal Law - Theft - Redeemable Credit Points,Hearing 3/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1321?ys=2025RS' target='_blank'>HB1321</a>,Delegate Rose,Taxes - Income,Income Tax - Credit for Cybersecurity Measures Undertaken by Small Businesses,Hearing 2/20 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1340?ys=2025RS' target='_blank'>HB1340</a>,Delegate Rose,Private Sector Labor and Industry,Labor and Employment - Unpaid Parental Leave - Definition of Employer,Hearing canceled,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0785?ys=2025RS' target='_blank'>SB0785</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1396?ys=2025RS' target='_blank'>HB1396</a>,Delegate Rose,Utility Regulation,Property Rights Protection Act of 2025,Hearing 3/06 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0737?ys=2025RS' target='_blank'>SB0737</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1403?ys=2025RS' target='_blank'>HB1403</a>,Delegate Rose,Primary and Secondary Education,Primary and Secondary Education - Full-Time Equivalent Enrollment Count - Alterations (Truancy Reduction Act of 2025),Unfavorable Report by Appropriations; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1426?ys=2025RS' target='_blank'>HB1426</a>,Delegate Rose,Public Health,Carroll County - Board of Health and Health Department,Hearing 2/28 at 12:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1250?ys=2025RS' target='_blank'>HB1250</a>,Delegate Stonko,State Government - Pensions and Retirement,State Retirement Agency - Report on Employer Contribution Rate Impact of Teacher Salary Increases,Unfavorable Report by Appropriations; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1290?ys=2025RS' target='_blank'>HB1290</a>,Delegate Stonko,State Government - Regulations and Procedures,General Provisions - Full-Year Daylight Saving Time,Unfavorable Report by Health and Government Operations; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0622?ys=2025RS' target='_blank'>HB0622</a>,Delegate Tomlinson,Juvenile Law,Juvenile Law - Custodial Interrogation (Juvenile Justice Restoration Act of 2025),Hearing 2/26 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0531?ys=2025RS' target='_blank'>SB0531</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0662?ys=2025RS' target='_blank'>HB0662</a>,Delegate Tomlinson,State Government - Procurement,Procurement - Indefinite Quantity Contracts - Authorization,Hearing 3/26 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1132?ys=2025RS' target='_blank'>HB1132</a>,Delegate Tomlinson,Primary and Secondary Education,Public Schools - Student Fights - School Investigation and Discipline,Hearing 3/03 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0783?ys=2025RS' target='_blank'>SB0783</a>
